Time,"T","gammaNodes","material","Points:0","Points:1","Points:2"
10.05,952.05,0,0,1.836,0,0.12499
10.05,954.36,0,0,1.848,0,0.12499
10.05,956.68,0,0,1.86,0,0.12499
10.05,959.01,0,0,1.872,0,0.12499
10.05,961.35,0,0,1.884,0,0.12499
10.05,963.7,0,0,1.896,0,0.12499
10.05,966.06,0,0,1.908,0,0.12499
10.05,968.43,0,0,1.92,0,0.12499
10.05,970.81,0,0,1.932,0,0.12499
10.05,973.2,0,0,1.944,0,0.12499
10.05,975.6,0,0,1.956,0,0.12499
10.05,978.01,0,0,1.968,0,0.12499
10.05,980.43,0,0,1.98,0,0.12499
10.05,982.86,0,0,1.992,0,0.12499
10.05,985.3,0,0,2.004,0,0.12499
10.05,987.76,0,0,2.016,0,0.12499
10.05,990.22,0,0,2.028,0,0.12499
10.05,992.69,0,0,2.04,0,0.12499
10.05,995.17,0,0,2.052,0,0.12499
10.05,997.67,0,0,2.064,0,0.12499
10.05,1000.2,0,0,2.076,0,0.12499
10.05,1002.7,0,0,2.088,0,0.12499
10.05,1005.2,0,0,2.1,0,0.12499
10.05,1007.8,0,0,2.112,0,0.12499
10.05,1010.3,0,0,2.124,0,0.12499
10.05,1012.9,0,0,2.136,0,0.12499
10.05,1015.5,0,0,2.148,0,0.12499
10.05,1018,0,0,2.16,0,0.12499
10.05,1020.6,0,0,2.172,0,0.12499
10.05,1023.3,0,0,2.184,0,0.12499
10.05,1025.9,0,0,2.196,0,0.12499
10.05,1028.5,0,0,2.208,0,0.12499
10.05,1031.2,0,0,2.22,0,0.12499
10.05,1033.8,0,0,2.232,0,0.12499
10.05,1036.5,0,0,2.244,0,0.12499
10.05,1039.2,0,0,2.256,0,0.12499
10.05,1041.9,0,0,2.268,0,0.12499
10.05,1044.6,0,0,2.28,0,0.12499
10.05,1047.3,0,0,2.292,0,0.12499
10.05,1050,0,0,2.304,0,0.12499
10.05,1052.8,0,0,2.316,0,0.12499
10.05,1055.5,0,0,2.328,0,0.12499
10.05,1058.3,0,0,2.34,0,0.12499
10.05,1061.1,0,0,2.352,0,0.12499
10.05,1063.9,0,0,2.364,0,0.12499
10.05,1066.7,0,0,2.376,0,0.12499
10.05,1069.6,0,0,2.388,0,0.12499
10.05,1072.4,0,0,2.4,0,0.12499
10.05,1075.3,0,0,2.412,0,0.12499
10.05,1078.1,0,0,2.424,0,0.12499
10.05,1081,0,0,2.436,0,0.12499
